question,A,B,C,D,correct_answer
The waves which are used for line of sight (LOS) communication are called:,A. Space waves,B. Cable waves,C. Antenna waves,D. None of these,A
"In the structure of fiber, the light is guided through the core due to total internal:",A. Reflection,B. Refraction,C. Diffraction,D. None of these,A
Global winds towards western direction are known as:,A. Trade winds,B. Western winds,C. Reynolds wind,D. None of these,A
Which of the following source of energy is caused by uneven heating of earth’s surface?,A. Wind,B. Solar,C. Biomass,D. None of these,A
Most major Tsunamis are produced by earthquakes with hypocenters less than:,A. 30 km,B. 40 km,C. 50 km,D. None of these,B
Blue dwarfs’ and ‘Red giants’ respectively refer to:,A. Moons of Jupiter,B. Young star and Old star,C. Old star and Young star,D. None of these,C
A chronometer meter measures __________ ?,A. Water waves,B. Color contrast,C. Time,D. Sound waves,C
Pollination of flowers by birds is called:_________?,A. Aeverology,B. Ornithology,C. Ornithophily,D. Polligramy,C
What does HMPV stand for?,A. Human Metapneumo virus,B. Human Mycoplasma Virus,C. Human Multipathogen Virus,D. Human Molecular Virus,A
"There are many different types of frozen water on Earth. Collectively, they are known as the: ___________?",A. Hydrosphere,B. Cryosphere,C. Frigid Zone,D. Biosphere,B
The blotting paper helps observe liquid by__________?,A. Surface Action,B. Capillary Action,C. Viscosity,D. Boldness,B
"In the atmosphere, if the temperature is low then the pressure is _________?",A. Low,B. High,C. Normal,D. All of these,A
Nucleus of an atom was discovered by___________?,A. Goldstein,B. James Chadwick,C. J J Thomson,D. Rutherford,D
Primatology is the study of: _________?,A. Human Behavior,B. Primates,C. Animals and Plants,D. Forests,B
The molecular mass of Water molecule is __________?,A. 16amu,B. 17amu,C. 18amu,D. 20amu,C
Vertical columns in the periodic table of elements are called as__________?,A. Periods,B. Groups,C. Rows,D. Lanthanoids series,B
Paleontology is the study of: _____________?,A. Organic particles in the air,B. Ancient Life and Fossils,C. How bodily structures are put together in an organism,D. How living things interact with each other and their environment,B
Apple is rich in: ______________?,A. Fluorine,B. Calcium,C. Iron,D. Phosphorus,C
"The Latin word of the name given to a human being Homo Sapiens, include the: __________?",A. Genus & Family,B. Family & Order,C. Genus & Class,D. Genus & Species,D
The Protein coat of virus is known as:,A. Plasmid,B. Capsule,C. Plastid,D. Capsid,D
Which one of the following is Voluntary Muscle?,A. Biceps,B. Cardiac,C. Stomach,D. Vessels,A
Hepatitis is caused by: ____________?,A. Protozoans,B. Algae,C. Fungi,D. Virus,D
The SI unit of charge is __________?,A. Ampere,B. Coulomb,C. Ohm,D. Volt,B
Dermatophagia is a ____ condition.,A. Physiological,B. Psychological,C. Dermatological,D. Genital,B
The largest artery in human body_______?,A. Subclavian artery,B. Aorta,C. Brachial artery,D. None of these,B
Deficiency of Vitamin __________ causes Sailors Disease in human?,A. Vitamin A,B. Vitamin K,C. Vitamin C,D. Vitamin D,C
Which of the following is the most stable element?,A. Uranium,B. Hydrogen,C. Oxygen,D. Lead,D
A device that converts mechanical energy into electric energy is called_______?,A. Motor.,B. Transformer.,C. Coil.,D. Generator.,D
The blue colour of clear sky is due to_______________?,A. Reflection of light,B. Refraction of light,C. Diffraction of light,D. Dispersion of light,D
People living in high altitudes (like mountains) usually have a _________?,A. smaller number of Red Blood Cells,B. larger number of Red Blood Cells,C. smaller number of White Blood Cells,D. larger number of White Blood Cells,B
Copper is used in the production of___________?,A.	Brick kilns,B.	Children toys,C.	Kitchen utilities,D.	Electric wires,D
Element extracted from Sea water?,A. Beryllium,B. Magnesium,C. Aluminium,D. None of These,B
"When water is filled in a bottle and is allowed to freeze, the bottle breaks because",A.	Water expands on freezing,B.	Bottle contracts at freezing point,C.	temperature outside the bottle is less than that inside the bottle.,D.	None of the above,A
A tight-rope walker carries a long pole which he holds across his body. The purpose of this pole is to__________?,A.	Prop him up if he falls,B.	Spread out his weight and reduce the pressure on the rope,C.	Add extra weight to keep the rope tightly stretched,D.	To keep the Center of gravity always above vertically above the rope,D
The sky appears blue because the earth’s atmosphere __________?,A. Scatters blue light,B. Reflects blue light,C. Transmits blue light,D. Has actual blue cover,A
The property by virtue of which metals can be beaten into thin sheets is known as?,A.	Ductility,B.	Malleability,C.	Conductivity,D.	Density,B
Steering of a car involves?,A.	A single force,B.	Two forces acting in the same direction,C.	Two forces acting along different lines and in opposite direction.,D.	A pair of forces acting along the same line and in opposite direction,D
The approximate intensity level of the sound which can cause damage to the ear drum is?,A.	20 dB,B.	60 dB,C.	100 dB,D.	160 dB,C
Which one of the following is the main culprit in the thinning of Ozone layer in the earth’s stratosphere?,A. Carbon dioxide,B. Chlorofluorocarbons,C. Nitrogen oxides,D. Methane,B
Fuse wire is made of_____________?,A. 63% tin and 37% lead,B. 63% lead and 37% tin,C. 63% tin and 37% aluminum,D. 63% lead and 37% aluminum,A
What is the smallest unit of heredity?,A. Chromosomes,B. Gene,C. Nucleotides,D. none,B
The shape of the external ear is due to____________?,A. Elastic cartilage,B. Fibrocartilage,C. Articular cartilage,D. none,A
"When a patient’s immune system becomes reactive to a drug, this is an example of?",A. Super infection,B. Drug resistance,C. Allergy,D. none,C
Which of these is not a region of the spinal cord?,A. Thoracic,B. Pelvic,C. Lumbar,D. none,B
The autonomic nervous system innervates all of these except?,A. Cardiac muscles,B. Skeletal muscles,C. Smooth muscles,D. none,B
The damage to the_________nerve could result in the defect of the eye movement:,A. Optic,B. Trigeminal,C. Abducens,D. none,C
Serum if blood plasma minus its?,A. Calcium ions,B. Clotting proteins,C. Globulins,D. none,B
Which of the following is not an enzyme?,A. Chemotrypsin,B. Secretin,C. Pepsin,D. none,B
It is impossible for a type of O+ baby to have a type of____________mother:,A. AB-,B. O-,C. O+,D. none,A
The number of electrons of a neutral atom is automatically known if one knows the?,A. Atomic number,B. Atomic weight,C. Number of orbitals,D. none,A
An area of microbiology that is concerned with the occurence of disease in human population is?,A. Immunology,B. Paracitology,C. Epidemiology,D. none,C
It is a secondary plant nutrient?,A. Nitrogen,B. Phosphorus,C. Sulphur,D. none,C
Vacuum tubes have been replaced by__________?,A. Conductors,B. Diodes,C. Transistors,D. None of these,C
Geiger-Muller counter is used to detect__________?,A. Protons,B. Neutrons,C. Photons,D. none,A
The severity of 2005 earthquake in Pakistan on Richter scale was ?,A. 6.9,B. 7.6,C. 7.1,D. none,B
The unit to measure the quantity of Ozone in atmosphere is?,A. Dobson,B. Dalton,C. Cuolomb,D. none,A
The Beta particles are fast moving___________?,A. Protons,B. Electrons,C. Neutrons,D. None,B
One of the following countries produces maximum energy from atomic reactors?,A. France,B. USA,C. UK,D. none,B
The alpha particles are compact clusters of______________?,A. Electron and Proton,B. Two Protons and two Neutrons,C. Three protons and three Neutrons,D. None,B
Atom is made up of____________different kinds of subatomic particles:,A. Three,B. Two,C. Four,D. None,A
He was the first scientist to prove that Planets move around the sun?,A. Archimedes,B. Galileo Galilei,C. John Kepler,D. None,B
Phosphorus is an essential component of one of the following biological molecules:,A. Amino acids,B. Nucleic acids,C. Carbohydrates,D. None,B
One of these scientists formulated basic laws of Geometry?,A. Pythagorus,B. Archimedes,C. Aristotle,D. None,A
The earth’s ___________ is divided into 15 major plates of various sizes,A. Mesosphere,B. Stratosphere,C. Lithosphere,D. None,C
UV light falls in the category of___________?,A. Ionizing Radiations,B. Non Ionizing Radiation,C. Visible light,D. None,A
Anti Diuretic hormone is secreted by one of the following glands?,A. Pituitary,B. Pancreas,C. Thyroid,D. None,A
Equator passes through one of these countries___________?,A. Saudi Arabia,B. Italy,C. Japan,D. None,D
One of the following is a water soluble vitamin?,A. Vitamin A,B. Vitamin D,C. Vitamin K,D. None,D
Deuterium differs from Hydrogen in having:,A. Different atomic number but same atomic weight,B. Different atomic number and different atomic weight,C. Same atomic number and different atomic weight,D. None,C
Which month of calendar year can lack a new moon?,A. December,B. February,C. May,D. None,B
The chemical name of quartz is:,A. Silicon Dioxide,B. Stannous Oxide,C. Aluminium Oxide,D. None,A
The atmosphere of moon consists of______________?,"A. 90% Hydrogen, 10% Nitrogen","B. 80%Nitrogen, 20% Hydrogen","C. 60% Nitrogen, 40%inert gases",D. None,C
The dominant phase of life cycle in these organism is haploid?,A. Mosses,B. Bacteria,C. Protozoa,D. None,A
Which group of animals has heterogametic females?,A. Domestic fowl,B. Earthworm,C. Rabbit,D. None,B
The biggest species of the cat family is___________?,A. Tiger,B. Lion,C. Leopard,D. None,A
The biggest planet in our solar system is___________?,A. Venus,B. Pluto,C. Jupiter,D. None,C
The sunlight can reach a depth of___________meters in the ocean,A. 80,B. 200,C. 120,D. None,B
