question,A,B,C,D,correct_answer
Probability of something in interest rate of XXX?,A. Financial operation,B. Statistical operation,C. Mathematical operations,D. None of these,B
80% of 700 = __________?,A. 550,B. 560,C. 565,D. none,B
"P is 5 times as large as Q, the percent that Q is less than P is ____________?",A. 60%,B. 90%,C. 80%,D. None of These,C
Who was Blaise Pascal?,A. English novelist,B. German physician,C. Chinese politician,D. French mathematician,D
"If n(U)=60, n(A)= 35, n(B)=24, and n(AUB)’=10 then n(A∩B) is ____________?",A. 10,B. 8,C. 9,D. None of These,C
Naeem sold a computer for Rs 25000 at which he suffered 20 Percent loss. Find the purchase price of the computer?,A. 31000,B. 41250,C. 31250,D. None of These,C
If a dice is rolled twice then what is the probability that the sum of the number of dots shown is 8?,A. 5/36,B. 4/36,C. 1/12,D. 1/2,A
1 inch is equal to ___________ centimeters?,A. 3.2 cm,B. 1.82 cm,C. 2.54 cm,D. 6.9 cm,C
"What is the Arithmetic Mean of the following data 3,6,9,12,15.",A. 7,B. 9,C. 12,D. 8,B
"In a certain class the ratio of men to women is 3:5. If the class has 24 people in it, how many are women?",A. 9,B. 12,C. 15,D. 18,C
A lorry covers a distance of 100 km in 2 hours 30 minutes. A car runs with a speed of 55 km/hour. Determine the ratio of their speeds.​,A. 8:11,B. 20:11,C. 4:11,D. None of These,A
a number exceeds another number by 5.the sum of the numbers is 19. find the smaller number ?,A. 5,B. 6,C. 7,D. 12,C
If Arif can read 39 pages of a book in half an hour. How long will It take her to finish a book that is 1287 pages?,A. 16 Hours,B. 16.5 Hours,C. 17 Hours,D. 15.5 Hours,B
A student can solve q questions in 1/h hour. At this rate how many questions can she solve in q hours?,A. hq,B. hq2,C. 1/hq,D. h/q,B
complete the series: 4.8.9.13.14.18._______?,A. 22,B. 32,C. 11,D. 19,D
"A person purchases 90 clocks and sells 40 clocks at a gain of 10% and 50 clocks at a gain of 20%. If he sold all of them at a uniform profit of 15%, then he would have got Rs. 40 less. The cost price of each clock is:_________?",A. Rs.50,B. Rs.60,C. Rs.80,D. Rs.90,C
The cash difference between the selling prices of an article at a profit of 4% and 6% is Rs. 3. The ratio of the two selling prices is:__________?,A. 51:52,B. 52:53,C. 51:53,D. 52:55,B
"If 5% more is gained by selling an article for Rs. 350 than by selling it for Rs. 340, the cost of the article is:________?",A. Rs. 50,B. Rs. 160,C. Rs. 200,D. Rs. 225,C
A man buys an article for 10% less than its value and sells it for 10% more than its value. His gain or loss percent is:________?,"A. no profit, no loss",B. 20% profit,C. less than 20% profit,D. more than 20% profit,D
"A manufacturer sells a pair of glasses to a wholesale dealer at a profit of 18%. The wholesaler sells the same to retailer at a profit of 20%. The retailer in turn sells them to a customer for Rs. 30.09, there by earning a profit of 25%. The cost price for the manufacturer is:________?",A. Rs. 15,B. Rs. 16,C. Rs. 17,D. Rs. 18,C
"A sells a bicycle to B at a profit of 20%. B sells it to C at a profit of 25%. If C pays Rs. 225 for it, the cost price of the bicycle for A is:________?",A. Rs. 110,B. Rs. 120,C. Rs. 125,D. Rs. 150,D
A fair price shopkeeper takes 10% profit on his goods. He lost 20% goods during theft. His loss percent is:________?,A. 8,B. 10,C. 11,D. 12,D
"By mixing two brands of tea and selling the mixture at the rate of Rs. 177 per kg. a shopkeeper makes a profit of 18%. If to every 2 kg of one brand costing Rs. 200 per kg, 3 kg of the other brand is added, then how much per kg does the other brand cost?",A. Rs. 110,B. Rs. 120,C. Rs. 140,D. None of these,D
Which Muslim scientist wrote first book on Algebra ?,A. Al-Khwarizmi,B. Ibn Sina,C. Archimedes,D. Euclid,A
What’s the largest known Prime Number?,"A. 282,589,933 − 3","B. 282,589,933 − 1","C. 282,589,933 − 5",D. None of these,B
Find two number whose sum is 28 and the difference is 4 _____________?,"A.  12,16","B.  18,10","C.  15,13","D.  14,12",A
1 acre is equal to ________square foot?,A. 45434 square foot,B. 34343 square foot,C. 43572 square foot,D. 43560 square foot,D
The word Geometry has been derived from two Greek words:_____________?,A. Geo means Earth,B. Metron means Measurement.,C. Hence Geomatery means,D. Earth measurement,D
What is the Sum of First 70 even Numbers?,A. 4970,B. 4950,C. 4900,D. 4980,A
What is the Sum of First 70 Odd Numbers?,A. 4900,B. 4970,C. 4960,D. None of these,A
Express 1.09 in term of Percentage.,A. 1.09%,B. 10.9%,C. 109%,D. None of these,C
"Calculate the Average of 1,2,3,4,5.",A. 1,B. 2,C. 3,D. 4,C
"Find the Missing Number in the series 1, 6, 13, 22, 33 ?",A. 36,B. 40,C. 46,D. 52,C
One Gross is equal to___________?,A. 5 Dozen,B. 10 Dozen,C. 12 Dozen,D. None of them,C
A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the joɡɡer?,A. 3.6 sec,B. 18 sec,C. 36 sec,D. 72 sec,C
"Three flags each of different colours are available for a military exercise, Using these flags different codes can be generated by wavingI. Single flag of different coloursII. Any two flags in a different sequence of colours.III. three flags in a different sequence of colours.The maximum number of codes that can be generated is.",A. 6,B. 9,C. 15,D. 18,C
