question,A,B,C,D,correct_answer
Want to Test yourself with 1000 Most Important GK MCQs?,A. Alaska,B. New Jersey,C. New York,D. Hawaii,A
The largest state of the USA by area is?,A. Alaska,B. New Jersey,C. New York,D. Hawaii,A
Dr Abdul Qadeer Khan National Hero and Father of Pakistan’s nuclear bomb was born in which City of britsish india?,A. Mumbai,B. New Dehli,C. Kolkata,D. Bhopal,D
Quaid-e-Azam trophy is the tournament of ?,A. football,B. hockey,C. cricket,D. squash,C
Pakistan’s standard time equivalent to?,A. GMT+2,B. GMT+5,C. GMT+6,D. GMT+9,B
Democracy Wall is located in?,A. USA,B. UK,C. Japan,D. China,D
10 Downing Street is the official Residence of?,A. French PM,B. USA PM,C. British PM,D. Queen of England,C
Habib Bourguiba declared independence of Tunisia from France in?,A. 1955,B. 1956,C. 1959,D. 1962,B
Grameen Bank a pioneer in the field of micro finance was the brainchild of?,A. Dr. Riaz Rehman,B. Pro.Abdul Salam,C. Prof.Muhammad Younas,D. Muhammad Salman Rashad,C
Currency of France is?,A. Dollar,B. Riyal,C. Pound,D. Euro,D
"On which island of French, Napoleon was born?",A. Saint Helena,B. Corsica,C. Elba,D. None of these,B
What was the old name of Oslo?,A. Christiania,B. Layalpur,C. Mesopotamia,D. Svalbard,A
For how many years did Nelson Mandela remain in prison?,A. 37,B. 33,C. 31,D. 27,D
Who is the author of diplomacy?,A. Henry Kissinger,B. Ronald Reagan,C. Barack Obama,D. Donald Trump,A
Hanoi is the capital of?,A. Ukraine,B. Myanmar,C. Libya,D. Vietnam,D
Which is the national flower of Russia?,A. Chamomile,B. Poinciana,C. Marguerite,D. Rose,A
When was helicopter developed?,A. 1935,B. 1939,C. 1852,D. 1923,B
Who is the Richest man in the world 2024?,A. Elon Musk,B. Mark Zuckerberg,C. Bernard Arnault,D. Bill Gates,C
Which is the old city of Pakistan?,A. Karachi,B. Lahore,C. Multan,D. Badin,C
"During the first trip of Donald Trump to Saudi Arabia, the two countries signed arms deal?",A. $110 billion,B. $140 billion,C. $80 billion,D. $50 billion,A
"United States president, Donald Trump, made his first foreign trip to?",A. Israel,B. Great Britain,C. Saudi Arabia,D. Russia,C
The Capital of America Washington D.C was founded in?,A. 1891,B. 1790,C. 1691,D. 1091,B
The highest Building of Pakistan is?,A. Headquarter of MCB,B. Pakistan stock exchange,C. Bahria Icon Tower,D. Marriott Hotel,C
The first passport issued by the Ayub regime?,A. 1973,B. 1960,C. 1963,D. 1970,B
The largest wheat producing country in the world is?,A. USA,B. India,C. Pakistan,D. China,D
Yuan is the Currency of which Country?,A. Japan,B. China,C. India,D. Canada,B
Which country has the largest Hindu population?,A. Sri Lanka,B. India,C. Nepal,D. Bhutan,B
KYODO is the news agency of?,A. Japan,B. India,C. China,D. Pakistan,A
Which country first introduced the world’s first photovoltaic road fitted with solar panels?,A. China,B. Japan,C. US,D. France,D
Who Conquered The Constantinople In 1453?,A. Sultan Mehmood Ghaznavi,B. Sultan Salahudin Ayubi,C. Sultan Muhammad Fateh,D. Sultan Sulaiman Khan,C
"World Highest Polo Ground Shandur (3,734 meters) is in Pakistan, It is in ___________ District?",A. Lahore,B. Swat,C. Chitral,D. Gilgit,C
Sofia is the capital of?,A. Canberra,B. Austria,C. Bulgaria,D. Angola,C
Pristina is the capital of?,A. Hungary,B. Kosovo,C. Serbia,D. Crotia,B
Washington D.C was organized in?,A. 1805,B. 1810,C. 1901,D. 1801,D
"No. Of commissioners appointed by the congress in order to find out the suitable area for the capital of America, were?",A. 5,B. 7,C. 2,D. 3,D
"In the Washington D.C, D.C signifies?",A. District of coordinated states,B. District of Croatia,C. District of Columbia,D. District centralized,C
Which Two States donated lands for Washington DC?,A. Columbia and Maryland,B. Maryland and Virginia,C. Virginia and Columbia,D. Virginia and Queensland,B
Who was the first Governor of state bank Pakistan?,A. Qasim parekh,B. V.A Jaffery,C. Abdul Qadir,D. Zahid Hussain,D
The river Indus flows from which city?,A. Gilgit,B. Tibat,C. peshawer,D. kabul,B
Radio was invented by in 1895?,A. Philo taylor,B. Motorola martia,C. Robert,D. Guglielmo marconi,D
What is the currency of Lebanon?,A. Lebanese Pound,B. Lebanese Dollar,C. Lebanese Rupee,D. None of these,A
How many Countries are there Landlocked in the world?,A. 37 Countries,B. 41 Countries,C. 44 Countries,D. 42 Countries,C
Nanga parbat the second highest peak of pakistan is located in which district of gilgit baltistan?,A. Astore,B. Diamer,C. Gizar,D. Nagir,B
Which one of these is the longest cave in the world?,A. Jewel Cave,B. Wind Cave,C. Sistema Ox Bel Ha,D. Mammoth Cave,D
The Palk Strait separates which two countries?,A. India and Indonesia,B. India and Sri Lanka,D. Sri Lanka and Maldives,D. Pakistan and Iran,B
The book Emile or “On Education” on the nature of education and man is written by?,A. Aristotle,B. Plato,C. John Dewey,D. Rousseau,D
Which Country did oriented Basketball?,A. Canada,B. Brazil,C. USA,D. England,C
Founder of Exam is?,A. Pythagoras,B. Sergy brin,C. Henry A Fischel,D. Wilhelm Wundt,C
Currency of New Zealand is?,A. Pound,B. Euro,C. Dollar,D. Yen,C
Which city of Pakistan once known as “City of Maple Trees”?,A. Lahore,B. Abbottabad,C. Hyderabad,D. Multan,B
Honduras is a _________ Country?,A. North American,B. South American,C. South African,D. Central American,D
Angola Parliament name is?,A. National Assembly,B. Parliament,C. Shrua,D. NonE of these,A
Pakistan officially joined the United Nations (UN) on?,A. 30 October 1947,B. 30 September 1947,C. 30 August 1947,D. 30 March 1948,B
The name of UNO was coined by?,A. George washington,B. Franklin D. Roosevelt,C. John kennedy,D. Wickshell,B
Who has the honour to address thrice the Joint Sitting of the Parliament of Pakistan?,A. Yasser Arafat,B. Xi Jingping,C. Recep Tayyip Erdoğan,D. Joko Widodo,C
When was Nobel Prize in economics started?,A. 1951,B. 1969,C. 1967,D. 1901,B
Kirkuk famous for its oil fields is the city of?,A.Saudi Arabia,B.Syria,C.Iran,D.Iraq,D
Which Country led a boycott of the 1980 Olympic Games held in Moscow?,A. Great Britain,B. China,C. United States,D. South Korea,C
how many feathers in shuttle in badminton?,A. 12 feathers,B. 15 feathers,C. 10 feathers,D. 16 feathers,D
Headquarters of the International Civil Aviation Organization is in?,A. New York (USA),B. Doha (QATAR),C. Jakarta (Indonesia),D. Montreal (Canada),D
Real is the Currency of which Country?,A. Argentina,B. Brazil,C. Denmark,D. Mangolia,B
"In Japan, Tuesday is known as?",A. Black day,B. Fire day,C. Day of jews,D. None of these,B
Who was the 1st Woman Judge of International Court of justice?,A. Rosa E. Otumbiyeva,B. Rosalyn Higgins,C. Gertrude Mongella,D. Sadako ogata,B
The first Urdu newspaper in Indian subcontinent was?,A. Jam-e-Jahan Numa,B. Nawai-e-waqt,C. Imroz,D. Indian Gazette,A
Fleet Street in London is famous for?,A. Newspapers & Press agencies offices,B. Stock Exchange,C. Cinema Halls,D. Shipping Centers,A
A man who’s eighty years old?,A. Centenary,B. Septuagenarian,C. Octogenarian,D. Immortal,C
What is the name of Longest Bridge in the world?,A. Beijing–Shanghai High-Speed Railway,B. The Danyang-Kunshan Grand Bridge,C. Lake Pontchartrain Causeway,D. King Fahd Causeway Bridge,B
What is the old name of Tomato?,A. Tomato,B. Red Ball,C. Union,D. Love Apple,D
How many Players in Polo Team on each side?,A. 4 Players,B. 6 Players,C. 8 Players,D. 10 Players,A
How many Players are in a Volleyball Team?,A. 5 Players,B. 6 Players,C. 7 Players,D. 8 Players,B
How much players are in basketball on the court at one time?,A. 5 Players,B. 7 Players,C. 9 Players,D. 11 Players,A
Most Populous City in the World is?,A. Delhi,B. Tokyo,C. Karachi,D. Shanghai,B
What is the full form of ECL?,A. Exit Cancellation List,B. Exit Control List,C. Exit Common List,D. Excutive Crime List,B
Mirza Ghalib was born on?,A. 20 Dec 1790,B. 27 Dec 1797,C. 21 Dec 1799,D. 25 Oct 1802,B
What is the national currency of Hong Kong?,A. Taiwan dollar,B. Yen,C. Hong Kong dollar,D.  Yuan,C
When was the first petrol Car developed?,A. 1886,B. 1888,C. 1889,D. 1890,A
Where is Headquarter of World Economic Forum is in?,A. London,B. Paris,C. Cologny,D. Geneva,C
What is the capital of Norway?,A. Vienna,B. Copenhegan,C. Oslo,D. Berlin,C
Members of Association Of Southeast Asian Nations (ASEAN) are?,A. 08,B. 09,C. 10,D. 11,C
Capital of Armenia is?,A. Kampala,B. Tbilisi,C. Yerevan,D. Amman,C
Einstein was born in which country?,A. USA,B. UK,C. France,D. Germany,D
Sana’a is Capital of?,A. Hungary,B. Austria,C. Malta,D. Yemen,D
What is Currency of Mongolia?,A. Euro,B. Pound Sterling,C. Mongolian tugrik,D. Peso,C
